"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
40369580,"El Pote Español Restaurant","MANHATTAN","Latin","violations",17,"B",4,143,"718 2nd Ave",40.74758,-73.97362,"****"
50004076,"Minetta Tavern","QUEENS","Latin","violations",11,"A",4,1941,"113 Macdougal St",40.7300047976758,-74.0006073834151,"****"
50037444,"El Presidente","MANHATTAN","Spanish","violations",12,"A",3,98,"3938 Broadway",40.83891,-73.941,"***"
41380595,"Pine Bar & Grill","BRONX","Latin","violations",8,"A",3,327,"1634 Eastchester Rd",40.845142364502,-73.8448638916016,"***"
41265511,"El Puerto Seafood","MANHATTAN","Seafood","violations",7,"A",4,60,"511 W 125th St",40.8140258789062,-73.956413269043,"****"
41620272,"El Puerto De Acapulco Bar & Restaurant","QUEENS","Latin","violations",12,"A",3,10,"9316 A 37th Ave",40.750728,-73.873519,"***"
41606952,"El Puerto Mexicano Bar & Restaurant","QUEENS","Mexican","violations",30,"C",3,23,"84-28 Jamaica Ave",40.6922391,-73.8597963,"***"
40847025,"El Pulgarcito De America Corporation","BROOKLYN","Latin","violations",15,"B",3,19,"3133 Fulton St",40.681905,-73.879468,"***"
50060472,"Pio Pio 8","BRONX","Spanish","violations",12,"A",4,2014,"604 10th Ave",40.760506289326,-73.994564488901,"****"
50016460,"El Quijote","MANHATTAN","Spanish","violations",24,"B",3.5,379,"226 W 23rd St",40.74443,-73.99688,"****"
41269825,"El Quinto Pino","MANHATTAN","Latin","violations",19,"B",3.5,265,"401 W 24th St",40.74743,-74.00124,"****"
41317448,"El Ranchito Poblano","BROOKLYN","Mexican","violations",22,"B",3,93,"1228 Flatbush Ave",40.64016,-73.95566,"***"
41562412,"El Rancho Burritos","MANHATTAN","Tex-Mex","violations",17,"B",3.5,105,"359 W 45th St",40.7603099,-73.99087,"****"
50038785,"El Rancho Cibaeno Restaurant","QUEENS","Latin","violations",10,"A",1,1,"9610 Jamaica Ave",40.6942863464355,-73.8490371704102,"**"
50048110,"Tacombi - Flatiron","BROOKLYN","Latin","violations",11,"A",3.5,476,"30 W 24th St",40.7428563,-73.9911656,"****"
41190515,"Taqueria Downtown","MANHATTAN","Latin","closed",50,"C",4,1448,"236 Grove St",40.7162,-74.04451,"****"
50039435,"El Rancho Cibaeno Restaurant","QUEENS","Mexican","violations",11,"A",1,1,"9610 Jamaica Ave",40.6942863464355,-73.8490371704102,"**"
41388342,"El Rey Restaurant","QUEENS","Latin","violations",9,"A",3,103,"14713 Hillside Ave",40.7060521691447,-73.8091943558197,"***"
41127786,"Pio Pio 8","BRONX","Mexican","violations",19,"B",4,2014,"604 10th Ave",40.760506289326,-73.994564488901,"****"
40401583,"El Rey De La Caridad","MANHATTAN","Latin","violations",13,"A",3.5,19,"973 Amsterdam Ave",40.80146,-73.96459,"****"
40964100,"Taco Rey de Oro","QUEENS","Mexican","violations",11,"A",4.5,69,"52ND St And Roosevelt Ave",40.74416,-73.91249,"*****"
41155285,"El Rey II Restaurant","BROOKLYN","Latin","violations",42,"C",3.5,86,"1064 Liberty Ave",40.67808,-73.86987,"****"
50038308,"El Rey IV Billiard & Lounge","QUEENS","Spanish","violations",12,"A",2.5,37,"7516 Rockaway Blvd",40.685609,-73.864542,"***"
50012292,"Tortilleria Nixtamal","QUEENS","Spanish","violations",18,"B",4,807,"104-05 47th Ave",40.74593,-73.85927,"****"
40399217,"Athens Grill & Sports Bar","QUEENS","Mexican","violations",27,"B",4,176,"3011 30th Ave",40.7671808396101,-73.9218648523092,"****"
50009197,"Rincon Criollo","QUEENS","Latin","violations",29,"C",4.5,683,"40-09 Junction Blvd",40.7489644,-73.8690814,"*****"
41387239,"Rincon Criollo","QUEENS","Latin","violations",10,"A",4.5,683,"40-09 Junction Blvd",40.7489644,-73.8690814,"*****"
50033270,"Rincon Del Sabor Latino Restaurant","MANHATTAN","Spanish","violations",10,"A",3,4,"74 W 47th St",40.7577019,-73.9815292,"***"
50003561,"El Rincon Peruano","QUEENS","Peruvian","violations",16,"B",3.5,36,"64-06 Roosevelt Ave",40.7459131837323,-73.8997893986402,"****"
41040222,"El Rinconcito De Nagua","QUEENS","Latin","violations",31,"C",3,4,"7620 Jamaica Ave",40.6914749145508,-73.8648071289062,"***"
50002641,"El Rinconcito Del Sabor Dominicano","BRONX","Latin","violations",11,"A",2.5,8,"254 E 204th St",40.873985,-73.884231,"***"
40401216,"El Rinconcito de Los Sabores Restaurant & Deli","MANHATTAN","Spanish","violations",8,"A",4,6,"139-33 89th Ave",40.7030296,-73.8119583,"****"
40569008,"El Rio Grande","MANHATTAN","Mexican","violations",17,"B",3.5,537,"160 E 38th St",40.748074661455,-73.976690081965,"****"
50046787,"El Gran Rodeo","QUEENS","Latin","violations",12,"A",4,21,"390 N Ave",40.9152526855469,-73.7851867675781,"****"
40743578,"El Rumbero Bar Restaurant","QUEENS","Latin","violations",10,"A",3,4,"8205 Northern Blvd",40.7557475116275,-73.8850486867488,"***"
50055367,"Blend on the Water","BROOKLYN","Spanish","violations",18,"B",4,2356,"4540 Center Blvd",40.7479520761447,-73.9570822404376,"****"
41642539,"El Sabroso Coffee Shop","QUEENS","Spanish","violations",17,"B",4.5,7,"6404 Roosevelt Ave",40.7458076,-73.8998184,"*****"
50003549,"El Mangu Sabroso Restaurant","MANHATTAN","Latin","violations",39,"C",2,23,"80 W Kingsbridge Rd",40.867873,-73.900524,"**"
50044131,"El Salvador Restaurant","BROOKLYN","Spanish","violations",6,"A",3,1,"1544 Myrtle Ave",40.6993307,-73.9119032,"***"
50058157,"Casa Enrique","BRONX","Latin","violations",11,"A",4,879,"5-48 49th Ave",40.743404338358,-73.954350367693,"****"
