"camis","name","boro","cuisine","action","score","grade","rating","review_count","location.address1","coordinates.latitude","coordinates.longitude","ratings1"
41091113,"El Viejo Jobo Restaurant","BRONX","Latin","violations",31,"C",2.5,7,"231 Sherman Ave",40.865658,-73.91954,"***"
50053323,"El Jobo Seafood Restaurant","BRONX","Spanish","violations",12,"A",2.5,6,"748 E 233rd St",40.8927373588085,-73.8554345816374,"***"
50017824,"El Kallejon","MANHATTAN","Mexican","violations",9,"A",4.5,204,"209 E 117th St",40.798538,-73.938805,"*****"
50054986,"Sabry's","QUEENS","Caf̩/Coffee/Tea","violations",24,"B",4.5,164,"2425 Steinway St",40.76828,-73.911056,"*****"
50015698,"El Kucho Mexican Restaurant","BROOKLYN","Mexican","violations",13,"A",4,165,"141 Wilson Ave",40.700817,-73.925422,"****"
41271537,"El Lider Bar & Restaurant","BRONX","Latin","violations",34,"C",1,1,"4535 Park Ave",40.85582,-73.89506,"**"
40391272,"El Lina Restaurant","MANHATTAN","Latin","violations",10,"A",4.5,17,"500 W 207th St",40.8642807006836,-73.91943359375,"*****"
50060115,"El Lobito Loco","STATEN ISLAND","Mexican","violations",9,"A",2.5,3,"74 Victory Blvd",40.6381185434853,-74.0791422513123,"***"
40781534,"El Loco Burrito","BROOKLYN","Mexican","violations",10,"A",2.5,166,"345 Graham Ave",40.7147469,-73.9445868,"***"
50016629,"El Luchador","MANHATTAN","Spanish","violations",11,"A",3.5,371,"87 South St",40.70582,-74.00411,"****"
50050158,"El Luchador Taqueria","MANHATTAN","Mexican","violations",12,"A",3,63,"132 Ludlow St",40.7202,-73.98819,"***"
50052709,"El Maguey Mexican Restaurant","QUEENS","Mexican","violations",9,"A",3.5,37,"83-28 Northern Blvd",40.7555523,-73.8840807,"****"
40960423,"El Maguey Y La Tuna Restaurant","MANHATTAN","Mexican","violations",10,"A",3.5,148,"321 E Houston St",40.72095,-73.9829,"****"
50047957,"El Malecon Restaurant II","QUEENS","Spanish","violations",11,"A",3.5,241,"764 Amsterdam Ave",40.795027,-73.969917,"****"
50019110,"El Manantial Restaurant","QUEENS","Spanish","violations",10,"A",5,3,"90-18 Corona Ave",40.7416484,-73.8745383,"*****"
41320401,"El Manantial Bakery","MANHATTAN","Bakery","violations",5,"A",4.5,12,"1220 St Nicholas Ave",40.8428917,-73.9380188,"*****"
41167453,"El Mangu Sabroso Restaurant","BRONX","Latin","violations",20,"B",2,23,"80 W Kingsbridge Rd",40.867873,-73.900524,"**"
50060589,"El Mariachi Restaurant","QUEENS","Mexican","violations",22,"B",3.5,216,"3311 Broadway",40.7611304286653,-73.9233571500763,"****"
40739013,"El Mariachi Restaurant","QUEENS","Mexican","violations",10,"A",4,34,"6712 Roosevelt Ave",40.7460442,-73.8978364,"****"
41711249,"El Mate","BROOKLYN","Brazilian","violations",7,"A",4.5,210,"550 Court St",40.6749782203506,-73.9995224876405,"*****"
50050729,"Yankee Stadium","BROOKLYN","American","violations",28,"C",4,1094,"1 E 161st St",40.8297187687158,-73.9261700867864,"****"
50060722,"El Mero Mero","QUEENS","Mexican","violations",2,"A",4.5,18,"35-57 38th St",40.753834323302,-73.923701159656,"*****"
41676908,"El Parador Cafe","BROOKLYN","Tex-Mex","violations",9,"A",4,372,"325 E 34th St",40.7444599,-73.97472,"****"
50010333,"The Ditty","QUEENS","Mexican","violations",24,"B",4,143,"3503 Ditmars Blvd",40.7747727,-73.9087253,"****"
50050167,"Rosa Mexicano","QUEENS","Latin","violations",18,"B",3.5,1290,"9 E 18th St",40.7382,-73.99083,"****"
41197352,"El Mirador Restaurant","BROOKLYN","Mexican","violations",6,"A",4,8,"124 1st St",40.648819,-74.1868973,"****"
41684505,"El Mitote","MANHATTAN","Mexican","violations",15,"B",3.5,372,"208 Columbus Ave",40.77578,-73.98021,"****"
50000372,"El Molcajete Restaurant","BRONX","Spanish","violations",12,"A",5,1,"2310 Bergenline Ave",40.7673674762929,-74.0325462073088,"*****"
50006225,"El Original TX MX","BRONX","Latin","violations",12,"A",3,315,"735 10th Ave",40.764496514454,-73.9921226352453,"***"
40393688,"El Nuevo Bohio","BRONX","Latin","violations",52,"C",3.5,26,"1155 Webster Ave",40.830590357475,-73.9107900112867,"****"
50051133,"El Monday's","MANHATTAN","Soul Food","violations",20,"B",3,17,"32 E 130th St",40.8090048283339,-73.938704431057,"***"
41289876,"El Montanero Bakery & Restaurant","QUEENS","Latin","closed",109,"C",3.5,43,"5521 Myrtle Ave",40.70011,-73.9077499,"****"
41391237,"John F Kennedy International Airport - JFK","QUEENS","Latin","violations",12,"A",3,1565,"Van Wyck & JFK Expressway",40.641435,-73.778288,"***"
50066073,"El Mordisco Sports Bar & Restaurant","QUEENS","Latin","violations",8,"A",5,2,"8514 Roosevelt Ave",40.747975,-73.880599,"*****"
50048787,"Ippudo East Village","BROOKLYN","Juice, Smoothies, Fruit Salads","violations",16,"B",4,9263,"65 4th Ave",40.730922,-73.990167,"****"
50043270,"El Nopal Restaurant & Juice Bar","BROOKLYN","Spanish","violations",9,"A",4.5,75,"631 5th Ave",40.66311,-73.99126,"*****"
41241694,"El Nuevo Amanecer Restaurant","MANHATTAN","Latin","violations",11,"A",3,101,"117 Stanton St",40.72098,-73.9872,"***"
50041952,"ilili","QUEENS","Latin","violations",41,"C",4,2054,"236 5th Ave",40.74435,-73.98778,"****"
41702179,"El Nuevo Barzola Restaurant","BROOKLYN","Spanish","violations",7,"A",2.5,13,"3386 Atlantic Ave",40.6815414,-73.8712769,"***"
50000589,"El Nuevo Bohio Lechonera","BRONX","Latin","violations",27,"B",3.5,77,"791 E Tremont Ave",40.84402,-73.88802,"****"
40607604,"El Coyote - Forest Hills","QUEENS","Latin","violations",7,"A",3,212,"70-09 Austin St",40.72108,-73.84654,"***"
41460820,"La Fonda","MANHATTAN","Latin","violations",20,"B",3.5,136,"169 E 106th St",40.7918998,-73.945057,"****"
41615115,"El Nuevo Caridad Restaurant","MANHATTAN","Spanish","violations",4,"A",3,106,"2257 2nd Ave",40.79688,-73.93809,"***"
41574568,"El Nuevo Delicioso","BRONX","Spanish","violations",34,"C",3,9,"410 E 148th St",40.81495,-73.91749,"***"
40402029,"El Nuevo Izalco Restaurant","QUEENS","Latin","violations",29,"C",4,82,"6405 Roosevelt Ave",40.74618,-73.89967,"****"
50006281,"El Nuevo JB Bakery","BRONX","Bakery","violations",15,"B",5,2,"97 West Fordham Rd",40.86291,-73.90449,"*****"
50054404,"El Nuevo Jobo Restaurant & Bar","MANHATTAN","Latin","violations",19,"B",2.5,26,"3915 Broadway",40.838421,-73.942261,"***"
50035953,"El Kallejon","BRONX","Spanish","violations",11,"A",4.5,204,"209 E 117th St",40.798538,-73.938805,"*****"
41502332,"Cafe Colonial Restaurant","BRONX","Latin","violations",11,"A",2.5,96,"2072 White Plains Rd",40.85265,-73.86757,"***"
41306447,"El Nuevo Pollo Sabroso","BRONX","Latin","violations",9,"A",3,9,"1779 Westchester Ave",40.832039,-73.866806,"***"
41468470,"El Nuevo Cibao","BROOKLYN","Latin","violations",13,"A",4,142,"172 Smith St",40.68584,-73.99121,"****"
41147597,"Cubana Cafe","BROOKLYN","Latin","violations",16,"B",3.5,322,"272 Smith St",40.682652,-73.9935,"****"
41648187,"Sandy","MANHATTAN","Spanish","violations",41,"C",3,51,"2261 2nd Ave",40.797256,-73.937934,"***"
41497089,"Mamajuana Cafe Restaurant & Bar","MANHATTAN","Latin","violations",15,"B",2.5,258,"875 Rt 3 E",40.781841,-74.047381,"***"
50005085,"El Nuevo Tina","MANHATTAN","Spanish","violations",27,"B",4,35,"511 W 125th St",40.8140289773263,-73.9563959464431,"****"
41576522,"El Nuevo Bohio Lechonera","BRONX","Latin","violations",12,"A",3.5,77,"791 E Tremont Ave",40.84402,-73.88802,"****"
40401151,"El Olivo","QUEENS","Spanish","violations",20,"B",4,84,"2115 31st St",40.7774691203576,-73.9087449908306,"****"
50033364,"El Original TX MX","MANHATTAN","Tex-Mex","violations",22,"B",3,315,"735 10th Ave",40.764496514454,-73.9921226352453,"***"
40936721,"Bocaito Cafe & Wine Bar","QUEENS","Latin","violations",10,"A",4,173,"81-15 Northern Blvd",40.7557793,-73.8857117,"****"
41514447,"El Paisano Pizzeria","BRONX","Pizza","violations",12,"A",3.5,3,"3444 E Tremont Ave",40.83222,-73.8277899,"****"
50013978,"El Palacio De Las Empanadas","QUEENS","Latin","violations",17,"B",4,16,"53-02 108th St",40.7425194,-73.8547516,"****"
50001851,"El Palacio de Los Cholados","QUEENS","Ice Cream, Gelato, Yogurt, Ices","violations",8,"A",4,67,"83-18 Northern Blvd",40.7556395977736,-73.8841449469328,"****"
50009874,"Boqueria Spanish Tapas - Soho","MANHATTAN","Seafood","violations",36,"C",4,804,"171 Spring St",40.724912,-74.0021299,"****"
41625013,"Arepas Cafe","BRONX","Spanish","violations",10,"A",4,761,"3307 36th Ave",40.7557551,-73.927737,"****"
50017295,"Forest Hills Station House","QUEENS","Latin","violations",10,"A",4,891,"106-11 71st Ave",40.7197971911827,-73.8451440959871,"****"
41417417,"Forest Hills Station House","QUEENS","Mexican","violations",13,"A",4,891,"106-11 71st Ave",40.7197971911827,-73.8451440959871,"****"
41017954,"Bakery El Panadero","MANHATTAN","Bakery","violations",12,"A",4,37,"1380 Saint Nicholas Ave",40.84801,-73.93446,"****"
41514880,"Ricardo Steak House","BRONX","Steak","violations",28,"C",4,773,"2145 2nd Ave",40.7934520370731,-73.940475679068,"****"
41442084,"El Parador Cafe","MANHATTAN","Mexican","violations",24,"B",4,372,"325 E 34th St",40.7444599,-73.97472,"****"
40735273,"Eataly","QUEENS","Latin","violations",12,"A",4,4828,"200 5th Ave",40.74195877796,-73.989716662832,"****"
41565598,"Cantina Rooftop","STATEN ISLAND","Mexican","violations",10,"A",2.5,270,"605 W 48th St",40.765101,-73.996046,"***"
50043950,"Eataly","BRONX","American","violations",25,"B",4,4828,"200 5th Ave",40.74195877796,-73.989716662832,"****"
40976973,"Pichardo Cleaning Services","QUEENS","Latin","violations",2,"A",5,3,"520 Isham St",40.8659283,-73.9185455,"*****"
41719505,"Baby Bo's Cantina","BRONX","Mexican","violations",18,"B",4,531,"627 2nd Ave",40.74514,-73.97598,"****"
50014293,"El Paso Mexican Grill","BROOKLYN","Mexican","violations",23,"B",3,151,"1610 Newkirk Ave",40.635877,-73.962081,"***"
41414060,"El Paso Restaurante Mexicano","MANHATTAN","Mexican","violations",12,"A",3.5,413,"1643 Lexington Ave",40.790668,-73.947082,"****"
41357926,"El Paso Taqueria","MANHATTAN","Mexican","violations",22,"B",3,190,"64 E 97th St",40.787296295166,-73.9528121948242,"***"
41423266,"El Patio","QUEENS","Latin","violations",11,"A",3.5,14,"218-21 Jamaica Ave",40.71829,-73.73659,"****"
41308685,"El Patron","QUEENS","Mexican","violations",20,"B",3.5,547,"194-01 Northern Blvd",40.7581599,-73.78747,"****"
50008317,"El Patron","STATEN ISLAND","Mexican","violations",12,"A",3.5,50,"520 Bay St",40.6291321267293,-74.0767305716872,"****"
40931888,"El Pequeno Restaurant","QUEENS","Latin","violations",16,"B",3.5,43,"8610 Roosevelt Ave",40.747793,-73.87985,"****"
41546236,"El Perro","QUEENS","Latin","violations",11,"A",3,15,"80-26 Northern Blvd",40.7552203,-73.8869745,"***"
50035066,"El Pilon Restaurant","BROOKLYN","Latin","violations",29,"C",2,8,"1306 Flatbush Ave",40.638175,-73.953666,"**"
